step   116 | loss: 0.0959 | pg: 0.0954 | kl: 0.0011 | clip: 0.004 | reward: -2.6084 | lr: 7.80e-07 | norm: 0.481 | dt: 262310ms
step   117 | loss: 0.0502 | pg: 0.0491 | kl: 0.0027 | clip: 0.010 | reward: -4.3244 | lr: 7.87e-07 | norm: 0.834 | dt: 383391ms
step   118 | loss: -0.0255 | pg: -0.0258 | kl: 0.0009 | clip: 0.005 | reward: -0.0896 | lr: 7.93e-07 | norm: 0.463 | dt: 273123ms
step   119 | loss: 0.0018 | pg: 0.0011 | kl: 0.0017 | clip: 0.005 | reward: -2.6062 | lr: 8.00e-07 | norm: 0.629 | dt: 217209ms
step   120 | loss: 0.0153 | pg: 0.0149 | kl: 0.0010 | clip: 0.008 | reward: -3.0910 | lr: 8.07e-07 | norm: 0.319 | dt: 73441ms
step   121 | loss: 0.0627 | pg: 0.0620 | kl: 0.0018 | clip: 0.007 | reward: -2.5550 | lr: 8.13e-07 | norm: 0.644 | dt: 369302ms
step   122 | loss: 0.0660 | pg: 0.0651 | kl: 0.0021 | clip: 0.008 | reward: -3.6649 | lr: 8.20e-07 | norm: 0.460 | dt: 246907ms
step   123 | loss: 0.0902 | pg: 0.0896 | kl: 0.0016 | clip: 0.004 | reward: -1.6470 | lr: 8.27e-07 | norm: 0.570 | dt: 273383ms
step   124 | loss: 0.0186 | pg: 0.0182 | kl: 0.0010 | clip: 0.005 | reward: -1.3596 | lr: 8.33e-07 | norm: 0.515 | dt: 117926ms
step   125 | loss: 0.0233 | pg: 0.0229 | kl: 0.0010 | clip: 0.005 | reward: -1.9352 | lr: 8.40e-07 | norm: 0.492 | dt: 287657ms
step   126 | loss: 0.0381 | pg: 0.0374 | kl: 0.0018 | clip: 0.008 | reward: -3.1962 | lr: 8.47e-07 | norm: 0.597 | dt: 205833ms
step   127 | loss: 0.0220 | pg: 0.0209 | kl: 0.0026 | clip: 0.010 | reward: -2.9484 | lr: 8.53e-07 | norm: 0.527 | dt: 191349ms
step   128 | loss: 0.0237 | pg: 0.0230 | kl: 0.0018 | clip: 0.008 | reward: -1.7743 | lr: 8.60e-07 | norm: 0.509 | dt: 353269ms
step   129 | loss: 0.0604 | pg: 0.0600 | kl: 0.0010 | clip: 0.004 | reward: -1.6869 | lr: 8.67e-07 | norm: 0.422 | dt: 156880ms
step   130 | loss: 0.0331 | pg: 0.0322 | kl: 0.0022 | clip: 0.005 | reward: -2.5826 | lr: 8.73e-07 | norm: 0.562 | dt: 203168ms
step   131 | loss: -0.0189 | pg: -0.0193 | kl: 0.0011 | clip: 0.004 | reward: -3.4323 | lr: 8.80e-07 | norm: 0.361 | dt: 155294ms
step   132 | loss: -0.0045 | pg: -0.0052 | kl: 0.0018 | clip: 0.005 | reward: -1.0152 | lr: 8.87e-07 | norm: 0.545 | dt: 232591ms
step   133 | loss: 0.0190 | pg: 0.0181 | kl: 0.0022 | clip: 0.007 | reward: 0.2831 | lr: 8.93e-07 | norm: 0.607 | dt: 370518ms
step   134 | loss: 0.0083 | pg: 0.0081 | kl: 0.0007 | clip: 0.003 | reward: -2.2174 | lr: 9.00e-07 | norm: 0.364 | dt: 103055ms
step   135 | loss: 0.0429 | pg: 0.0420 | kl: 0.0023 | clip: 0.008 | reward: -2.8927 | lr: 9.07e-07 | norm: 0.592 | dt: 275204ms
step   136 | loss: 0.0191 | pg: 0.0180 | kl: 0.0027 | clip: 0.009 | reward: -1.2274 | lr: 9.13e-07 | norm: 0.601 | dt: 305855ms
step   137 | loss: 0.0399 | pg: 0.0393 | kl: 0.0015 | clip: 0.005 | reward: -2.3490 | lr: 9.20e-07 | norm: 0.528 | dt: 271389ms
step   138 | loss: -0.0415 | pg: -0.0423 | kl: 0.0021 | clip: 0.005 | reward: -1.7708 | lr: 9.27e-07 | norm: 0.636 | dt: 308667ms
step   139 | loss: -0.0484 | pg: -0.0493 | kl: 0.0023 | clip: 0.007 | reward: -3.1699 | lr: 9.33e-07 | norm: 0.598 | dt: 318686ms
step   140 | loss: 0.0298 | pg: 0.0291 | kl: 0.0016 | clip: 0.007 | reward: -2.1154 | lr: 9.40e-07 | norm: 0.493 | dt: 159231ms
step   141 | loss: 0.0194 | pg: 0.0190 | kl: 0.0009 | clip: 0.008 | reward: -0.6299 | lr: 9.47e-07 | norm: 0.451 | dt: 107405ms
step   142 | loss: 0.0810 | pg: 0.0801 | kl: 0.0024 | clip: 0.009 | reward: -1.1863 | lr: 9.53e-07 | norm: 0.723 | dt: 486220ms
step   143 | loss: 0.0447 | pg: 0.0439 | kl: 0.0019 | clip: 0.007 | reward: -3.9974 | lr: 9.60e-07 | norm: 0.482 | dt: 315931ms
step   144 | loss: 0.0470 | pg: 0.0465 | kl: 0.0012 | clip: 0.006 | reward: -1.7509 | lr: 9.67e-07 | norm: 0.402 | dt: 206173ms
step   145 | loss: 0.0403 | pg: 0.0392 | kl: 0.0029 | clip: 0.009 | reward: -2.3716 | lr: 9.73e-07 | norm: 0.708 | dt: 354193ms
step   146 | loss: 0.0412 | pg: 0.0405 | kl: 0.0018 | clip: 0.008 | reward: -1.4232 | lr: 9.80e-07 | norm: 0.562 | dt: 330115ms
step   147 | loss: 0.0292 | pg: 0.0283 | kl: 0.0022 | clip: 0.010 | reward: -1.4245 | lr: 9.87e-07 | norm: 0.556 | dt: 294956ms
step   148 | loss: 0.0918 | pg: 0.0909 | kl: 0.0023 | clip: 0.010 | reward: -2.3321 | lr: 9.93e-07 | norm: 0.685 | dt: 329809ms
step   149 | loss: 0.0342 | pg: 0.0336 | kl: 0.0013 | clip: 0.004 | reward: -0.8019 | lr: 1.00e-06 | norm: 0.443 | dt: 239594ms
step   150 | loss: 0.0208 | pg: 0.0202 | kl: 0.0014 | clip: 0.011 | reward: -3.2734 | lr: 1.01e-06 | norm: 0.520 | dt: 208214ms
step   151 | loss: -0.0005 | pg: -0.0006 | kl: 0.0002 | clip: 0.006 | reward: -2.7071 | lr: 1.01e-06 | norm: 0.213 | dt: 9224ms
step   152 | loss: 0.0685 | pg: 0.0674 | kl: 0.0027 | clip: 0.009 | reward: -2.9483 | lr: 1.02e-06 | norm: 0.538 | dt: 292335ms
step   153 | loss: -0.0040 | pg: -0.0050 | kl: 0.0023 | clip: 0.009 | reward: -3.7255 | lr: 1.03e-06 | norm: 0.562 | dt: 248517ms
step   154 | loss: 0.0255 | pg: 0.0249 | kl: 0.0016 | clip: 0.007 | reward: -0.0922 | lr: 1.03e-06 | norm: 0.532 | dt: 235844ms
step   155 | loss: 0.0537 | pg: 0.0524 | kl: 0.0034 | clip: 0.007 | reward: -3.0099 | lr: 1.04e-06 | norm: 0.387 | dt: 262256ms
step   156 | loss: 0.0457 | pg: 0.0453 | kl: 0.0008 | clip: 0.005 | reward: -1.7282 | lr: 1.05e-06 | norm: 0.416 | dt: 169587ms
step   157 | loss: 0.0406 | pg: 0.0397 | kl: 0.0023 | clip: 0.009 | reward: -1.6585 | lr: 1.05e-06 | norm: 0.443 | dt: 241675ms
step   158 | loss: 0.0037 | pg: 0.0028 | kl: 0.0024 | clip: 0.007 | reward: -1.9096 | lr: 1.06e-06 | norm: 0.558 | dt: 239897ms
step   159 | loss: 0.0667 | pg: 0.0658 | kl: 0.0024 | clip: 0.008 | reward: -2.6126 | lr: 1.07e-06 | norm: 0.540 | dt: 288697ms
step   160 | loss: 0.0184 | pg: 0.0170 | kl: 0.0034 | clip: 0.008 | reward: -3.0917 | lr: 1.07e-06 | norm: 0.723 | dt: 375836ms
step   161 | loss: 0.0534 | pg: 0.0520 | kl: 0.0034 | clip: 0.008 | reward: -3.7895 | lr: 1.08e-06 | norm: 0.468 | dt: 399420ms
step   162 | loss: 0.0229 | pg: 0.0221 | kl: 0.0021 | clip: 0.006 | reward: -2.5540 | lr: 1.09e-06 | norm: 0.298 | dt: 230486ms
step   163 | loss: 0.0056 | pg: 0.0049 | kl: 0.0018 | clip: 0.005 | reward: -3.0828 | lr: 1.09e-06 | norm: 0.384 | dt: 112426ms
step   164 | loss: 0.0484 | pg: 0.0476 | kl: 0.0021 | clip: 0.007 | reward: -1.8472 | lr: 1.10e-06 | norm: 0.386 | dt: 234034ms
step   165 | loss: 0.0013 | pg: -0.0008 | kl: 0.0054 | clip: 0.006 | reward: -1.6874 | lr: 1.11e-06 | norm: 0.580 | dt: 289321ms
